
extDB3: https://bitbucket.org/torndeco/extdb3/wiki/Home
extDB3: Version: 1.031
extDB3: Windows Version
Message: All development for extDB3 is done on a Linux Dedicated Server
Message: If you would like to Donate to extDB3 Development
Message: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=2SUEFTGABTAM2
Message: Also leave a message if there is any particular feature you would like to see added.
Message: Thanks for all the people that have donated.
Message: Torndeco: 18/05/15


extDB3: Found extdb3-conf.ini
extDB3: Detected 8 Cores, Setting up 6 Worker Threads
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...


[16:00:56:147754 +02:00] [Thread 6408] extDB3: MariaDBConnectorException: altislife: Access denied for user 'root'@'localhost' (using password: YES)
[16:01:42:536070 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:15:477675 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:15:562037 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:02:15:740399 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:16:790295 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:18:333315 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:19:380133 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:20:385780 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:21:239092 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:21:569897 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:02:23:938179 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:24:441634 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:25:377077 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:26:220315 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:26:696623 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:02:28:863372 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:29:517120 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:31:236691 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:31:236830 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:31:585647 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:02:33:868677 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:34:567564 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:36:224941 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:36:572904 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:02:37:098268 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:38:850935 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:39:660121 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:41:217250 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:41:568156 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:02:41:941167 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:43:819128 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:44:740615 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:46:226585 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:46:555465 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:02:46:991578 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:48:818480 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:48:840486 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:02:49:408085 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:02:49:793043 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:51:236844 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:51:980901 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:53:643318 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:02:53:774606 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:54:475490 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:02:54:891630 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:02:55:413970 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:02:56:046690 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:02:56:222236 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:02:56:963118 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:02:58:755885 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:02:59:907912 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:02:59:952093 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:00:408255 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:01:221552 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:01:977415 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:02:085707 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:02:368506 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:03:03:112419 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:03:03:749213 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:04:887188 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:03:05:039569 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:05:413600 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:06:224758 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:07:009796 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:07:621518 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:08:657223 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198160823264'
[16:03:08:869157 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:09:876466 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:03:10:116112 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:10:507100 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:11:241083 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:12:074295 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:12:729004 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:13:702673 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:14:879768 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:03:15:163577 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:15:363077 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:16:243390 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:17:160755 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:18:053090 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:18:698857 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:19:810861 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:03:20:274096 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:20:318210 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:21:254126 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:22:143098 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:23:163798 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:23:666096 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:24:775020 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:03:25:272366 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:25:359641 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:26:256036 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:27:130287 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:28:213177 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:28:651388 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:29:735235 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:03:30:240565 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:30:417042 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:31:247259 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:32:145687 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:33:298806 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:33:725679 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:34:692434 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:03:35:215847 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:35:520597 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:36:243611 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:37:150977 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:38:610837 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:38:764252 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:39:651598 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
[16:03:40:134918 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198134146035'
[16:03:40:575053 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198059278111'
[16:03:41:258890 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198130359436'
[16:03:42:160348 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198092419807'
[16:03:43:584115 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198152382123'
[16:03:43:756510 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198103551362'
[16:03:43:843725 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198145771194'
[16:03:44:628919 +02:00] [Thread 6408] extDB3: Error Unknown Protocol: 6648  Input String: 2:6648:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198147191571'
