
extDB3: https://bitbucket.org/torndeco/extdb3/wiki/Home
extDB3: Version: 1.031
extDB3: Windows Version
Message: All development for extDB3 is done on a Linux Dedicated Server
Message: If you would like to Donate to extDB3 Development
Message: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=2SUEFTGABTAM2
Message: Also leave a message if there is any particular feature you would like to see added.
Message: Thanks for all the people that have donated.
Message: Torndeco: 18/05/15


extDB3: Found extdb3-conf.ini
extDB3: Detected 8 Cores, Setting up 6 Worker Threads
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...
extDB3: ...


[04:00:57:369226 +02:00] [Thread 16820] extDB3: MariaDBConnectorException: altislife: Can't connect to MySQL server on '127.0.0.1' (0)
[04:20:09:263611 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:48:356523 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:53:323743 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:22:58:295974 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:23:03:261214 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:24:20:794021 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:24:21:304354 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:24:26:644566 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:24:31:637916 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:24:36:590177 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:24:41:583410 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:24:46:544668 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:05:922761 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:08:225888 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:15:616530 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:20:568760 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:25:593138 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:30:611435 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:35:582690 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:40:562936 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:45:562105 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:50:485997 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:32:55:431120 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:00:371952 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:05:328671 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:10:288803 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:15:226928 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:20:186179 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:25:170574 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:30:089953 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:35:009038 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:39:961219 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:44:924394 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:50:250218 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:33:55:194381 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:00:130543 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:05:095841 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:10:035924 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:13:738705 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:14:550920 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:14:991100 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:19:933190 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:20:308195 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:24:891007 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:25:286091 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:29:832122 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:30:293386 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:34:790398 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:35:278682 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:39:726553 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:40:252940 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:44:679702 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:45:229153 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:49:626458 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:50:197034 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:54:578637 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:34:55:151168 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:34:59:517789 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:00:147449 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:04:485083 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:05:113705 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:09:418283 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:10:099677 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:14:396031 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:15:048878 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:19:297104 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:19:999041 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:24:215194 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:24:983328 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:29:182928 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:29:941912 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:34:102008 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:34:935194 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:39:066186 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:43:992347 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:48:943560 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:52:621364 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:53:040515 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:53:894737 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:35:58:407707 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:35:58:825870 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:36:03:371986 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:36:03:766006 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:36:08:354194 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:36:08:719199 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:36:13:315445 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:36:13:644265 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198247472190'
[04:36:30:444002 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:36:30:881204 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:36:36:187347 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:36:41:158506 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:01:173543 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:02:005233 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:08:088024 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:13:084306 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:18:122396 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:23:165814 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:28:183181 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:33:210568 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:38:260035 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
[04:39:43:313485 +02:00] [Thread 16820] extDB3: Error Unknown Protocol: 5427  Input String: 2:5427:SELECT exp_level, exp_total, exp_perkPoints, exp_perks FROM players WHERE pid = '76561198072844380'
